"","SITE_STN","STOC_BARK","STOC_WHIS","STOC_BEG","STOC_PAIR","STOC_IRREG","STOC_4N","STOC_ANY","MALE","FEMALE","UNK","JUV","FEMALE_FNLC","MALE_FNLC","FEMALE_FNLC_OR_PAIR","MALE_FNLC_OR_PAIR"
"1","DC_12",1,1,0,0,0,2,4,1,1,2,0,1,1,1,1
"2","DC_14",3,9,0,4,2,25,32,24,7,5,0,6,23,6,23
"3","DC_18",2,6,4,0,3,15,26,9,6,8,4,6,9,6,9
"4","DC_19",25,456,296,141,59,389,802,437,171,318,296,91,357,168,434
"5","DC_20",2,0,0,0,1,5,6,5,0,1,0,0,5,0,5
"6","DC_21",0,6,0,0,0,0,6,0,0,6,0,0,0,0,0
"7","DC_22",0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
"8","DC_27",1,6,0,0,6,1,14,0,1,13,0,1,0,1,0
"9","MC_11",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"10","MC_13",0,0,0,0,5,4,9,9,0,0,0,0,4,0,4
"11","MC_14",0,0,0,0,0,2,2,2,0,0,0,0,2,0,2
"12","MC_19",15,716,314,247,1166,184,1801,1416,256,366,314,53,176,255,378
"13","MC_25",1,1,0,0,4,2,8,6,0,2,0,0,2,0,2
"14","MC_26",0,1,0,0,57,34,91,88,2,1,0,2,32,2,32
"15","MC_33",0,0,0,0,7,2,9,9,0,0,0,0,2,0,2
"16","UG_04",0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
"17","UG_08",0,0,0,0,1,16,17,17,0,0,0,0,16,0,16
"18","UG_09",0,0,0,0,0,3,3,3,0,0,0,0,3,0,3
"19","UG_11",0,0,0,0,8,5,13,13,0,0,0,0,5,0,5
"20","UG_12",0,0,0,0,22,62,84,84,0,0,0,0,62,0,62
"21","UG_13",0,0,0,0,0,45,45,45,0,0,0,0,45,0,45
"22","UG_14",0,0,0,0,0,108,108,108,0,0,0,0,108,0,108
"23","UG_19",20,265,4,135,495,518,1127,938,189,135,4,85,483,170,568
"24","UG_20",2,0,0,0,0,138,140,138,0,2,0,0,138,0,138
"25","UG_21",0,0,0,0,0,45,45,45,0,0,0,0,45,0,45
"26","UG_22",0,0,0,0,0,13,13,13,0,0,0,0,13,0,13
"27","UG_24",0,0,0,0,5,3,8,8,0,0,0,0,3,0,3
"28","UG_25",1,0,0,0,1,101,103,102,0,1,0,0,101,0,101
"29","UG_26",45,21,0,51,145,328,503,377,125,52,0,94,284,94,284
"30","UG_27",10,1,0,5,16,112,137,121,10,11,0,10,107,10,107
"31","UG_29",0,0,0,0,0,2,2,2,0,0,0,0,2,0,2
"32","UG_31",0,0,0,0,4,50,54,54,0,0,0,0,50,0,50
"33","UG_32",0,0,0,0,9,37,45,37,8,0,0,0,37,0,37
"34","UG_35",0,0,0,0,0,4,4,4,0,0,0,0,4,0,4
"35","UG_36",0,1,0,0,0,21,22,21,0,1,0,0,21,0,21
"36","UG_37",0,0,0,0,0,9,9,9,0,0,0,0,9,0,9
"37","WC_06",0,0,0,0,0,5,5,5,0,0,0,0,5,0,5
"38","WC_08",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"39","WC_13",0,0,0,0,1,2,2,2,0,0,0,0,2,0,2
"40","WC_14",0,0,0,0,0,2,2,2,0,0,0,0,2,0,2
"41","WC_17",0,0,0,0,0,2,2,2,0,0,0,0,2,0,2
"42","WC_18",43,0,0,4,2,10,49,7,8,38,0,7,7,7,7
"43","WC_19",323,83,0,206,526,404,1181,444,587,356,0,247,302,301,356
"44","WC_25",2,3,0,0,11,3,16,1,11,4,0,2,1,2,1
"45","WC_31",0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
